Age,income,number_of_logins,purchase_count,last_login_days,subscription,will_churn
28,45000,12,3,4,Basic,0
42,82000,24,8,2,Premium,0
35,32000,4,1,45,Free,1
22,28000,8,2,12,Free,0
58,95000,18,6,3,Premium,0
31,48000,3,0,65,Basic,1
45,71000,15,5,8,Basic,0
26,38000,2,0,52,Free,1
39,63000,22,7,1,Premium,0
50,89000,5,1,40,Premium,1
24,31000,10,2,6,Free,0
33,52000,14,4,5,Basic,0
48,77000,1,0,78,Basic,1
29,41000,9,3,15,Free,0
55,105000,28,10,2,Premium,0
36,49000,6,1,33,Basic,1
41,68000,19,6,4,Premium,0
23,29000,11,2,7,Free,0
60,92000,2,0,85,Basic,1
34,56000,16,5,3,Basic,0
27,37000,7,1,22,Free,0
52,84000,25,9,1,Premium,0
40,59000,3,0,60,Basic,1
30,46000,13,3,9,Basic,0
46,74000,20,7,2,Premium,0
25,33000,4,1,48,Free,1
38,62000,17,5,4,Basic,0
57,98000,27,8,3,Premium,0
32,44000,5,0,55,Free,1
44,70000,18,6,5,Premium,0
21,26000,14,3,2,Free,0
49,81000,4,1,62,Basic,1
37,55000,21,6,3,Basic,0
54,88000,23,8,2,Premium,0
29,39000,2,0,70,Free,1
43,66000,15,4,6,Basic,0
59,102000,30,11,1,Premium,0
35,51000,3,0,58,Basic,1
28,43000,12,3,10,Free,0
47,75000,19,7,3,Premium,0
22,27000,5,1,38,Free,1
51,86000,24,9,2,Premium,0
36,53000,16,5,4,Basic,0
30,47000,2,0,72,Free,1
42,69000,20,6,3,Premium,0
56,96000,6,1,45,Basic,1
26,36000,11,3,8,Free,0
38,61000,17,5,5,Basic,0
48,79000,22,8,2,Premium,0
24,30000,3,0,64,Free,1
33,50000,13,4,7,Basic,0
53,91000,26,9,1,Premium,0
39,64000,4,1,50,Basic,1
27,38000,10,2,11,Free,0
45,73000,18,6,4,Premium,0
58,104000,31,12,2,Premium,0
31,45000,2,0,80,Free,1
40,58000,15,4,6,Basic,0
23,28000,8,2,14,Free,0
50,85000,5,1,53,Basic,1
34,54000,19,6,3,Basic,0
46,76000,23,8,2,Premium,0
29,40000,3,0,67,Free,1
37,57000,14,4,8,Basic,0
55,99000,28,10,1,Premium,0
25,32000,11,3,5,Free,0
41,67000,4,1,46,Basic,1
49,83000,21,7,3,Premium,0
32,46000,6,1,35,Free,1
44,72000,17,5,4,Basic,0
57,97000,29,10,2,Premium,0
28,42000,2,0,75,Free,1
36,52000,15,4,6,Basic,0
43,68000,20,7,2,Premium,0
21,25000,9,2,13,Free,0
52,87000,4,1,56,Basic,1
38,60000,18,6,3,Basic,0
60,108000,32,11,1,Premium,0
30,44000,3,0,69,Free,1
47,78000,22,8,2,Premium,0
26,35000,12,3,6,Free,0
39,63000,5,1,42,Basic,1
54,93000,25,9,2,Premium,0
23,29000,2,0,82,Free,1
35,50000,16,5,5,Basic,0
48,80000,21,7,3,Premium,0
31,47000,7,1,28,Free,0
42,70000,3,0,63,Basic,1
56,101000,27,9,2,Premium,0
27,39000,13,4,4,Free,0
45,74000,6,1,49,Basic,1
33,53000,17,5,3,Basic,0
58,106000,30,11,1,Premium,0
25,34000,3,0,71,Free,1
41,65000,16,5,5,Basic,0
50,86000,24,8,2,Premium,0
22,27000,10,2,9,Free,0
37,58000,4,1,54,Basic,1
49,82000,22,7,3,Premium,0
34,51000,14,4,7,Basic,0
